代码,名称,最新价,涨跌幅,市盈率-动态,市净率,总市值
600284,浦东建设,9.9,4.76,21.13,1.22,9605534400.0
688055,龙腾光电,4.18,4.76,-57.5,3.34,13933333612.0
688199,久日新材,27.13,4.75,-241.47,1.72,4374095320.0
002514,宝馨科技,7.06,4.75,-56.7,38.19,5083441904.0
300126,锐奇股份,9.96,4.73,-105.12,2.89,3027417696.0
688296,和达科技,14.38,4.73,-44.4,2.31,1551582731.0
430556,雅达股份,11.74,4.73,56.26,3.67,1893840448.0
300623,捷捷微电,32.9,4.71,55.45,4.72,27375429335.0
603061,金海通,125.66,4.71,49.6,5.32,7539600000.0
002474,榕基软件,6.68,4.7,-78.75,3.03,4156296000.0
603698,航天工程,19.83,4.7,54.86,3.09,10628681700.0
300418,昆仑万维,45.41,4.7,-33.32,4.11,57005759236.0
603026,石大胜华,42.54,4.7,-87.85,2.05,9899101136.0
688602,康鹏科技,8.49,4.69,71.08,1.57,4409493750.0
002795,永和智控,4.91,4.69,-29.09,4.55,2188652523.0
688693,锴威特,38.78,4.67,-43.0,3.32,2857473703.0
600438,通威股份,21.74,4.67,-9.88,2.33,97873177640.0
002548,金新农,5.39,4.66,-92.3,2.82,4339454817.0
000935,四川双马,22.05,4.65,65.45,2.21,16833859343.0
002654,万润科技,15.57,4.64,423.6,8.48,13161360610.0
834770,艾能聚,20.13,4.63,56.35,4.4,2619560683.0
300074,华平股份,4.78,4.6,-35.48,2.63,2605824648.0
002459,晶澳科技,12.74,4.6,-8.17,1.74,42165342998.0
301617,博苑股份,79.5,4.59,53.64,6.32,10624380000.0
002595,豪迈科技,61.05,4.59,20.4,4.39,48840000000.0
688561,奇安信-U,36.3,4.58,-16.08,3.1,24765773918.0
603078,江化微,21.07,4.57,84.52,4.24,8125376815.0
688301,奕瑞科技,116.81,4.57,34.95,5.09,23387507800.0
603950,长源东谷,38.5,4.56,38.05,4.48,12479035800.0
603290,斯达半导,113.0,4.55,49.12,3.97,27060501658.0
301308,江波龙,150.86,4.55,2141.11,9.38,63232254980.0
300398,飞凯材料,26.69,4.54,34.89,3.1,15131800751.0
